<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x0000020AC5853D80>
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814  -48.50597382 -48.95916367]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
[-48.8296814 -48.6354599 -48.8296814]
